CIP_Code,Program,Minimum_Wage,Employment,Projected_Growth,Projected_Demand
29-2041.00,"Emergency Medical Technicians and Paramedics 
",34320,262000,8.5,97.561464
29-2053.00,"Psychiatric Technicians 
",32870,77000,11,28.093989
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop 
",22330,480000,2.5,109.8636
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers 
",48220,199000,8.5,104.114213
39-3011.00,Gaming Dealers ,20120,96000,5,20.28096
39-3012.00,Gaming and Sports Book Writers and Runners ,24430,12000,0,2.9316
39-9031.00,"Fitness Trainers and Aerobics Instructors 
",39820,357000,11,157.794714
43-4031.02,Municipal Clerks ,38450,151000,5,60.962475
43-4051.03,"Patient Representatives 
",33750,2973000,-2,983.31975
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators ",58770,100000,-2,57.5946
47-5021.00,"Earth Drillers, Except Oil and Gas 
",44430,19000,11,9.370287
55-3017.00,Radar and Sonar Technicians ,44430,19000,11,9.370287
25-1031.00,"Architecture Teachers, Postsecondary 
",86980,9000,8.5,8.493597
25-1041.00,"Agricultural Sciences Teachers, Postsecondary ",84640,13000,5,11.55336
25-1042.00,"Biological Science Teachers, Postsecondary 
",82550,65000,11,59.559825
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary ",90860,13000,5,12.40239
25-1053.00,"Environmental Science Teachers, Postsecondary ",79910,8000,5,6.71244
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary 
",83940,7000,8.5,6.375243
25-1063.00,"Economics Teachers, Postsecondary 
",101480,16000,8.5,17.616928
25-1065.00,"Political Science Teachers, Postsecondary 
",83370,20000,8.5,18.09129
25-1071.00,"Health Specialties Teachers, Postsecondary 
",97370,255000,11,275.605785
25-1072.00,"Nursing Instructors and Teachers, Postsecondary 
",73490,69000,11,56.285991
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary 
",61900,18000,8.5,12.08907
25-1112.00,"Law Teachers, Postsecondary 
",111140,23000,8.5,27.734987
25-1113.00,"Social Work Teachers, Postsecondary 
",68300,16000,8.5,11.85688
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary 
",69960,119000,8.5,90.328854
25-1122.00,"Communications Teachers, Postsecondary ",68910,36000,5,26.04798
25-1126.00,"Philosophy and Religion Teachers, Postsecondary 
",71890,32000,8.5,24.960208
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary ",62620,20000,5,13.1502
29-2011.03,"Histotechnologists and Histologic Technicians 
",52330,332000,11,192.846516
29-2055.00,"Surgical Technologists 
",47300,112000,8.5,57.47896
53-7011.00,Conveyor Operators and Tenders ,32980,23000,0,7.5854
53-7071.00,Gas Compressor and Gas Pumping Station Operators ,65210,4000,-2,2.556232
53-7072.00,"Pump Operators, Except Wellhead Pumpers 
",44380,12000,8.5,5.778276
13-1031.01,"Claims Examiners, Property and Casualty Insurance ",65900,329000,-2,212.47478
13-1199.05,"Sustainability Specialists 

",70530,1136000,5,841.28184
15-1143.01,Telecommunications Engineering Specialists ,109020,159000,5,182.00889
17-3013.00,Mechanical Drafters ,55920,58000,-2,31.784928
23-1022.00,"Arbitrators, Mediators, and Conciliators 

",62270,8000,8.5,5.405036
25-4013.00,"Museum Technicians and Conservators 
",43020,14000,8.5,6.534738
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators ",49380,29000,0,14.3202
29-1069.09,"Preventive Medicine Physicians 
",200890,434000,8.5,945.970921
29-1199.05,"Orthoptists 
",73960,57000,11,46.794492
33-1021.02,Forest Fire Fighting and Prevention Supervisors ,76330,68000,5,54.49962
33-2021.01,Fire Inspectors ,62510,13000,5,8.532615
33-2021.02,Fire Investigators ,62510,13000,5,8.532615
41-9011.00,Demonstrators and Product Promoters ,28960,87000,5,26.45496
45-1011.07,"First-Line Supervisors of Agricultural Crop and Horticultural Workers 
",46960,56000,0,26.2976
51-4061.00,"Model Makers, Metal and Plastic ",56130,5000,-2,2.75037
51-8021.00,"Stationary Engineers and Boiler Operators 
",60440,34000,2.5,21.06334
53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand ",55470,425000,5,247.534875
11-9071.00,"Gaming Managers 
",74700,6000,8.5,4.86297
21-1022.00,"Healthcare Social Workers 
",56200,181000,11,112.91142
27-3043.05,"Poets, Lyricists and Creative Writers ",62170,123000,0,76.4691
27-4011.00,"Audio and Video Equipment Technicians 
",43770,93000,11,45.183771
27-4032.00,"Film and Video Editors 
",62650,40000,11,27.8166
29-1041.00,"Optometrists 
",111790,42000,8.5,50.942703
29-1069.04,"Neurologists 
",200890,434000,8.5,945.970921
29-1069.06,"Ophthalmologists 
",200890,434000,8.5,945.970921
29-1071.00,"Physician Assistants 
",108610,119000,11,143.462949
29-1199.01,"Acupuncturists 
",73960,57000,11,46.794492
29-1199.04,"Naturopathic Physicians 
",73960,57000,11,46.794492
29-9091.00,"Athletic Trainers 
",47510,31000,11,16.348191
33-3051.01,Police Patrol Officers ,61380,687000,5,442.76463
33-9031.00,Gaming Surveillance Officers and Gaming Investigators ,32680,11000,5,3.77454
39-5091.00,"Makeup Artists, Theatrical and Performance 
",64250,5000,8.5,3.4855625
39-9032.00,"Recreation Workers 
",25060,408000,8.5,110.935608
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks 
",40240,1708000,-2,673.553216
51-4121.06,"Welders, Cutters, and Welder Fitters 
",41380,425000,2.5,180.261625
29-2033.00,"Nuclear Medicine Technologists 
",76820,19000,8.5,15.836443
49-9041.00,"Industrial Machinery Mechanics 
",52340,382000,5,209.93574
11-3051.02,"Geothermal Production Managers 
",103380,187000,0,193.3206
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes 
",66040,19000,8.5,13.614146
17-3029.10,"Fuel Cell Technicians 
",63200,87000,2.5,56.3586
17-3031.01,Surveying Technicians ,44380,57000,5,26.56143
21-1023.00,"Mental Health and Substance Abuse Social Workers 
",44840,125000,11,62.2155
27-2032.00,Choreographers ,47800,7000,-2,3.27908
27-4013.00,Radio Operators ,42220,1000,2.5,0.432755
29-1062.00,"Family and General Practitioners 
",201100,127000,8.5,277.105745
29-1063.00,"Internists, General ",194500,43000,5,87.81675
29-1064.00,Obstetricians and Gynecologists ,208000,21000,2.5,44.772
29-1066.00,"Psychiatrists 
",208000,29000,11,66.9552
29-1126.00,"Respiratory Therapists 
",60280,134000,11,89.660472
29-2099.06,"Radiologic Technicians 
",42920,129000,11,61.457148
31-9011.00,"Massage Therapists 
",41420,160000,11,73.56192
33-1012.00,First-Line Supervisors of Police and Detectives ,89030,122000,5,114.04743
39-5011.00,"Barbers 
",27960,82000,8.5,24.876012
43-4121.00,"Library Assistants, Clerical ",26500,94000,-2,24.4118
43-5071.00,"Shipping, Receiving, and Traffic Clerks 
",33030,663000,0,218.9889
47-4099.03,"Weatherization Installers and Technicians 

",38860,35000,8.5,14.757085
49-9081.00,"Wind Turbine Service Technicians 

",54370,7000,11,4.224549
51-4051.00,Metal-Refining Furnace Operators and Tenders ,41220,18000,-2,7.271208
51-4052.00,"Pourers and Casters, Metal ",37730,8000,-2,2.958032
51-8031.00,Water and Wastewater Treatment Plant and System Operators ,46780,127000,-2,58.222388
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers ",70860,40000,-2,27.77712
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders 
",40810,51000,2.5,21.3334275
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders ",35120,74000,-2,25.469024
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders ",30790,18000,0,5.5422
17-3011.02,Civil Drafters ,54920,101000,2.5,56.85593
29-2056.00,"Veterinary Technologists and Technicians 
",34420,109000,11,41.644758
49-9061.00,Camera and Photographic Equipment Repairers ,40620,4000,0,1.6248
13-1041.02,Licensing Examiners and Inspectors ,68860,320000,5,231.3696
13-2099.04,"Fraud Examiners, Investigators and Analysts ",70280,144000,5,106.26336
17-2111.01,"Industrial Safety and Health Engineers 
",89130,27000,5,25.268355
17-2111.02,Fire-Prevention and Protection Engineers ,89130,27000,5,25.268355
23-1023.00,"Judges, Magistrate Judges, and Magistrates ",133920,30000,2.5,41.1804
27-1026.00,Merchandise Displayers and Window Trimmers ,28450,168000,2.5,48.9909
27-2041.01,Music Directors ,49630,65000,0,32.2595
29-1021.00,"Dentists, General 
",151850,137000,8.5,225.7174325
29-1069.01,"Allergists and Immunologists 
",200890,434000,8.5,945.970921
29-1069.02,"Dermatologists 
",200890,434000,8.5,945.970921
29-2034.00,"Radiologic Technologists 
",59520,211000,8.5,136.262112
29-2052.00,"Pharmacy Technicians 
",32700,420000,8.5,149.0139
29-2054.00,Respiratory Therapy Technicians ,51210,9000,-2,4.516722
33-2011.01,Municipal Firefighters ,49620,332000,5,172.97532
33-2011.02,Forest Firefighters ,49620,332000,5,172.97532
33-9011.00,Animal Control Workers ,36330,13000,5,4.959045
35-2021.00,"Food Preparation Workers 
",23730,842000,8.5,216.790161
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food 
",21250,3704000,11,873.681
35-9011.00,"Dining Room and Cafeteria Attendants and Bartender Helpers 
",22270,466000,8.5,112.599347
37-3011.00,"Landscaping and Groundskeeping Workers 
",29000,1205000,8.5,379.15325
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers ",22260,136000,2.5,31.03044
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants 
",24030,19000,8.5,4.9537845
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists 
",24730,684000,8.5,183.531222
41-2012.00,Gaming Change Persons and Booth Cashiers ,24880,23000,0,5.7224
43-4081.00,"Hotel, Motel, and Resort Desk Clerks ",23700,265000,-2,61.5489
43-5041.00,"Meter Readers, Utilities ",40360,34000,-2,13.447952
45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers ,46960,56000,0,26.2976
45-3011.00,Fishers and Related Fishing Workers ,25380,39000,-2,9.700236
45-4022.00,Logging Equipment Operators ,40510,37000,-2,14.688926
45-4023.00,Log Graders and Scalers ,38220,5000,-2,1.87278
47-2031.01,"Construction Carpenters 

",46590,1007000,8.5,509.0400105
47-2073.00,"Operating Engineers and Other Construction Equipment Operators 

",47810,402000,8.5,208.532877
47-2152.02,"Plumbers 

",53910,500000,11,299.2005
47-3012.00,"Helpers--Carpenters 

",30880,34000,11,11.654112
47-4031.00,"Fence Erectors 
",34800,31000,8.5,11.70498
47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters ",49860,6000,5,3.14118
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door ",56070,53000,2.5,30.4600275
49-9031.00,Home Appliance Repairers ,39270,41000,-2,15.778686
49-9044.00,"Millwrights 

",55060,44000,8.5,26.285644
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic 
",38020,12000,-2,4.471152
51-6041.00,Shoe and Leather Workers and Repairers ,28840,12000,-2,3.391584
51-7011.00,Cabinetmakers and Bench Carpenters ,34740,116000,0,40.2984
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders ",36400,33000,-2,11.77176
51-9071.01,Jewelers ,39440,38000,-2,14.687456
51-9071.06,Gem and Diamond Workers ,39440,38000,-2,14.687456
51-9071.07,Precious Metal Workers ,39440,38000,-2,14.687456
53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators ,55470,425000,5,247.534875
53-3033.00,"Light Truck or Delivery Services Drivers 
",32810,1001000,5,344.849505
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers ",52630,6000,0,3.1578
53-7081.00,"Refuse and Recyclable Material Collectors 

",37260,133000,8.5,53.768043
43-4071.00,File Clerks ,31700,117000,-2,36.34722
11-3051.05,"Methane/Landfill Gas Collection System Operators 
",103380,187000,0,193.3206
11-9013.03,Aquacultural Managers ,67950,975000,0,662.5125
19-4041.01,"Geophysical Data Technicians 

",53300,16000,8.5,9.25288
27-1023.00,Floral Designers ,27200,56000,-2,14.92736
27-1027.00,Set and Exhibit Designers ,54270,14000,5,7.97769
29-1011.00,"Chiropractors 
",71410,50000,8.5,38.739925
29-1069.08,"Physical Medicine and Rehabilitation Physicians 
",200890,434000,8.5,945.970921
31-2012.00,"Occupational Therapy Aides 
",28160,8000,11,2.500608
31-9099.02,"Endoscopy Technicians 
",37830,93000,8.5,38.1723615
33-3021.02,Police Identification and Records Officers ,81920,111000,2.5,93.20448
33-3052.00,Transit and Railroad Police ,74030,5000,5,3.886575
43-4111.00,"Interviewers, Except Eligibility and Loan ",34060,205000,2.5,71.568575
43-5011.01,"Freight Forwarders 

",43210,96000,8.5,45.007536
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers ",38480,115000,-2,43.36696
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay ",80200,23000,2.5,18.90715
49-2098.00,"Security and Fire Alarm Systems Installers 
",47190,76000,11,39.809484
49-9052.00,Telecommunications Line Installers and Repairers ,58280,123000,0,71.6844
53-1021.01,"Recycling Coordinators 
",55470,425000,5,247.534875
49-9011.00,"Mechanical Door Repairers 
",41010,23000,8.5,10.2340455
49-9021.02,"Refrigeration Mechanics and Installers 

",47610,368000,11,194.477328
53-3022.00,"Bus Drivers, School or Special Client ",32420,498000,5,169.52418
53-7061.00,Cleaners of Vehicles and Equipment ,24530,409000,5,105.344085
17-3012.01,Electronic Drafters ,60070,26000,2.5,16.008655
21-2011.00,Clergy ,48990,234000,5,120.36843
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers ",99850,15000,2.5,15.3519375
25-4031.00,Library Technicians ,34040,95000,-2,31.69124
27-2011.00,Actors ,1754,65000,0,1.1401
27-2031.00,Dancers ,1631,14000,0,0.22834
27-2041.04,Music Composers and Arrangers ,49630,65000,0,32.2595
27-2042.01,Singers ,2815,188000,0,5.2922
27-3011.00,Radio and Television Announcers ,33220,38000,-2,12.371128
27-4012.00,Broadcast Technicians ,40080,35000,0,14.028
27-4031.00,"Camera Operators, Television, Video, and Motion Picture 
",54570,29000,8.5,17.1704505
29-1024.00,"Prosthodontists 
",176540,1000,8.5,1.915459
29-1051.00,Pharmacists ,126120,314000,0,396.0168
29-1061.00,Anesthesiologists ,208000,35000,5,76.44
29-1069.03,"Hospitalists 
",200890,434000,8.5,945.970921
29-2081.00,"Opticians, Dispensing 
",37010,75000,8.5,30.1168875
31-9092.00,"Medical Assistants 
",33610,687000,11,256.299777
31-9096.00,"Veterinary Assistants and Laboratory Animal Caretakers 
",27540,92000,11,28.123848
33-1011.00,First-Line Supervisors of Correctional Officers ,63340,46000,-2,28.553672
33-9093.00,Transportation Security Screeners ,41490,49000,0,20.3301
37-3013.00,"Tree Trimmers and Pruners 
",38190,56000,8.5,23.204244
39-2011.00,"Animal Trainers 
",29290,45000,11,14.630355
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers ",26430,70000,-2,18.13098
47-1011.03,"Solar Energy Installation Managers 

",65230,663000,8.5,469.2352665
47-2211.00,"Sheet Metal Workers 

",48460,143000,8.5,75.188113
47-2231.00,"Solar Photovoltaic Installers 

",42680,10000,11,4.73748
47-5041.00,"Continuous Mining Machine Operators 
",54520,15000,0,8.178
49-2021.01,Radio Mechanics ,54890,14000,2.5,7.876715
49-2091.00,Avionics Technicians ,64140,21000,2.5,13.806135
49-3023.01,Automotive Master Mechanics ,40710,770000,0,313.467
49-3031.00,"Bus and Truck Mechanics and Diesel Engine Specialists 
",47350,285000,5,141.694875
51-2023.00,Electromechanical Equipment Assemblers ,33690,292000,-2,96.407304
51-2041.00,"Structural Metal Fabricators and Fitters 
",39290,80000,-2,30.80336
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders ",30840,21000,0,6.4764
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic ",38650,27000,-2,10.22679
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic ",34850,75000,-2,25.61475
51-4121.07,"Solderers and Brazers 
",41380,425000,2.5,180.261625
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders ",37670,38000,-2,14.028308
51-6052.00,"Tailors, Dressmakers, and Custom Sewers ",31000,34000,-2,10.3292
51-8011.00,"Nuclear Power Reactor Operators 
",94350,6000,-2,5.54778
51-8099.01,"Biofuels Processing Technicians 
",57100,13000,0,7.423
51-8099.02,"Methane/Landfill Gas Generation System Technicians 
",57100,13000,0,7.423
51-9011.00,"Chemical Equipment Operators and Tenders 
",48770,84000,-2,40.147464
51-9022.00,"Grinding and Polishing Workers, Hand ",29550,31000,-2,8.97729
51-9141.00,Semiconductor Processors ,37270,27000,-2,9.861642
51-9194.00,Etchers and Engravers ,31330,11000,0,3.4463
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers ",33340,47000,2.5,16.061545
53-6051.01,Aviation Inspectors ,73780,31000,5,24.01539
11-9013.01,Nursery and Greenhouse Managers ,67950,975000,0,662.5125
13-1199.03,"Customs Brokers 
",70530,1136000,5,841.28184
13-2082.00,Tax Preparers ,39390,87000,5,35.982765
27-1025.00,Interior Designers ,53370,75000,5,42.028875
29-1022.00,"Oral and Maxillofacial Surgeons 
",208000,6000,8.5,13.5408
29-1069.12,"Urologists 
",200890,434000,8.5,945.970921
29-1081.00,Podiatrists ,129550,11000,5,14.963025
29-2032.00,"Diagnostic Medical Sonographers 
",72510,73000,11,58.754853
29-2061.00,"Licensed Practical and Licensed Vocational Nurses 
",46240,729000,11,374.169456
41-2022.00,Parts Salespersons ,30430,258000,0,78.5094
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products 
",58510,1406000,2.5,843.216865
43-3021.02,"Billing, Cost, and Rate Clerks 
",37800,486000,8.5,199.32318
43-3061.00,Procurement Clerks ,42670,71000,-2,29.689786
43-4041.01,Credit Authorizers ,38750,30000,-2,11.3925
43-5011.00,"Cargo and Freight Agents 
",43210,96000,8.5,45.007536
49-9099.01,"Geothermal Technicians 
",39320,183000,5,75.55338
51-5112.00,Printing Press Operators ,36220,176000,-2,62.472256
51-8092.00,Gas Plant Operators ,71070,15000,-2,10.44729
