College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Theatre Arts,2020,106,Main
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Theatre Arts,2020,5,Main
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Theatre Production,2020,95,Main
College of Fine Arts,School of Art,Graduate,Doctor of Philosophy in Art History & Education,2020,27,Main
College of Fine Arts,School of Art,Graduate,Museum Studies,2020,2,Main
College of Fine Arts,School of Art,Graduate,Master of Arts in Art Education,2020,1,Main
College of Fine Arts,School of Art,Graduate,Master of Arts in Art and Visual Culture Education,2020,7,Main
College of Fine Arts,School of Art,Graduate,Master of Fine Arts in Art,2020,36,Main
College of Fine Arts,School of Art,Undergraduate,Major in Art Education,2020,2,Main
College of Fine Arts,School of Art,Undergraduate,Major in Art and Visual Culture Education,2020,33,Main
College of Fine Arts,School of Art,Undergraduate,Major in Art and Visual Culture Education,2020,2,Main
College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,161,Main
College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,10,Main
College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,264,Main
College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,3,Main
College of Fine Arts,School of Dance,Graduate,Master of Fine Arts in Dance,2020,9,Main
College of Fine Arts,School of Dance,Undergraduate,Major in Dance,2020,144,Main
College of Fine Arts,School of Music,Graduate,Doctor of Musical Arts in Music,2020,95,Main
College of Fine Arts,School of Music,Graduate,Doctor of Philosophy in Music,2020,15,Main
College of Fine Arts,School of Music,Graduate,Master of Music in Music,2020,51,Main
College of Fine Arts,School of Music,Undergraduate,Major in Music,2020,73,Main
College of Fine Arts,School of Music,Undergraduate,Major in Music,2020,2,Main
College of Fine Arts,School of Music,Undergraduate,Major in Music Education,2020,85,Main
College of Fine Arts,School of Music,Undergraduate,Major in Music Education,2020,3,Main
College of Fine Arts,School of Music,Undergraduate,Major in Performance,2020,131,Main
College of Fine Arts,School of Music,Undergraduate,Major in Performance,2020,3,Main
College of Humanities,College of Humanities,Undergraduate,Major in General Studies,2020,10,Distance
College of Humanities,Africana Studies,Undergraduate,Major in Africana Studies,2020,33,Main
College of Humanities,Africana Studies,Undergraduate,Major in Africana Studies,2020,13,Main
College of Humanities,College of Humanities,Undergraduate,Major in General Studies,2020,533,Main
College of Humanities,College of Humanities,Undergraduate,Major in Global Studies,2020,100,Main
College of Humanities,East Asian Studies,Graduate,Doctor of Philosophy in East Asian Studies,2020,43,Main
College of Humanities,East Asian Studies,Graduate,Master of Arts in East Asian Studies,2020,14,Main
College of Humanities,East Asian Studies,Undergraduate,Major in East Asian Studies,2020,138,Main
College of Humanities,East Asian Studies,Undergraduate,Major in East Asian Studies,2020,39,Main
College of Humanities,French and Italian,Graduate,Master of Arts in French,2020,14,Main
College of Humanities,French and Italian,Undergraduate,Major in French,2020,85,Main
College of Humanities,French and Italian,Undergraduate,Major in French,2020,42,Main
College of Humanities,French and Italian,Undergraduate,Major in Italian,2020,37,Main
College of Humanities,French and Italian,Undergraduate,Major in Italian,2020,18,Main
College of Humanities,German Studies,Graduate,Doctor of Philosophy in Transcultural German Studies,2020,8,Main
College of Humanities,German Studies,Graduate,Master of Arts in German Studies,2020,6,Main
College of Humanities,German Studies,Undergraduate,Major in German Studies,2020,59,Main
College of Humanities,German Studies,Undergraduate,Major in German Studies,2020,17,Main
College of Humanities,Public & Applied Humanities,Undergraduate,Major in Applied Humanities,2020,92,Main
College of Humanities,Public & Applied Humanities,Undergraduate,Major in Applied Humanities,2020,5,Main
College of Humanities,Public & Applied Humanities,Undergraduate,Major in World Literature,2020,2,Main
College of Humanities,Public & Applied Humanities,Undergraduate,Major in World Literature,2020,1,Main
College of Humanities,Religious Studies and Classics,Graduate,Master of Arts in Classics,2020,17,Main
College of Humanities,Religious Studies and Classics,Undergraduate,Major in Classics,2020,62,Main
College of Humanities,Religious Studies and Classics,Undergraduate,Major in Classics,2020,38,Main
College of Humanities,"Religious Studies, Cmt",Undergraduate,Major in Religious Studies,2020,37,Main
College of Humanities,"Religious Studies, Cmt",Undergraduate,Major in Religious Studies,2020,15,Main
College of Humanities,Russian and Slavic Studies,Graduate,Master of Arts in Russian,2020,15,Main
College of Humanities,Russian and Slavic Studies,Undergraduate,Major in Russian,2020,34,Main
College of Humanities,Russian and Slavic Studies,Undergraduate,Major in Russian,2020,26,Main
College of Humanities,Spanish and Portuguese,Graduate,Doctor of Philosophy in Spanish,2020,33,Main
College of Humanities,Spanish and Portuguese,Graduate,Master of Arts in Spanish,2020,24,Main
College of Humanities,Spanish and Portuguese,Undergraduate,Major in Spanish,2020,276,Main
College of Humanities,Spanish and Portuguese,Undergraduate,Major in Spanish,2020,105,Main
College of Humanities,Africana Studies,Undergraduate,Major in Africana Studies,2020,6,Online
College of Humanities,College of Humanities,Undergraduate,Major in General Studies,2020,275,Online
College of Humanities,Public & Applied Humanities,Graduate,Master of Arts in Second Language Learning and Educational Technology,2020,1,Online
College of Medicine - Phoenix,College of Medicine - Phoenix,Medical School,Major in Medicine,2020,336,Phoenix
College of Medicine - Phoenix,COM Phoenix Academic Affairs,Graduate,Master of Medical Studies,2020,10,Phoenix
College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Doctor of Philosophy in Cellular & Molecular Medicine,2020,2,Main
College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Biomedical Sciences,2020,2,Main
College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Master of Science in Cellular & Molecular Medicine,2020,61,Main
College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Master of Science in Genetic Counseling,2020,5,Main
College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Doctor of Philosophy in Clinical Translational Science,2020,15,Main
College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Foundations for Biomedical Science PhDs Serving Indigenous Cultures,2020,4,Main
College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Master of Science in Clinical Translational Science,2020,5,Main
College of Medicine - Tucson,College of Medicine - Tucson,Medical School,Major in Medicine,2020,511,Main
College of Medicine - Tucson,Dept of Emergency Medicine,Undergraduate,Major in Emergency Medical Services,2020,10,Main
College of Medicine - Tucson,Family and Community Medicine,Undergraduate,Developmental Disabilities,2020,6,Main
College of Medicine - Tucson,Immunobiology,Graduate,Doctor of Philosophy in Immunobiology,2020,2,Main
College of Medicine - Tucson,Immunobiology,Graduate,Doctor of Philosophy in Molecular Medicine,2020,21,Main
College of Medicine - Tucson,Immunobiology,Graduate,Microbiology and Immunity,2020,7,Main
College of Medicine - Tucson,Pharmacology,Graduate,Doctor of Philosophy in Medical Pharmacology,2020,20,Main
College of Medicine - Tucson,Pharmacology,Graduate,Master of Science in Medical Pharmacology,2020,13,Main
College of Medicine - Tucson,Physiology-Undergraduate Prog,Undergraduate,Major in Physiology,2020,1084,Main
College of Medicine - Tucson,Physiology-Undergraduate Prog,Undergraduate,Major in Physiology and Medical Sciences,2020,595,Main
College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Doctor of Philosophy in Clinical Translational Science,2020,13,Phoenix
College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Master of Science in Clinical Translational Science,2020,15,Phoenix
College of Nursing,College of Nursing,Undergraduate,Major in Nursing,2020,48,Distance
College of Nursing,College of Nursing,Graduate,Doctor of Nursing Practice in Nursing,2020,10,Main
College of Nursing,College of Nursing,Graduate,Doctor of Philosophy in Nursing,2020,65,Main
College of Nursing,College of Nursing,Graduate,Master of Science in Nursing,2020,70,Main
College of Nursing,College of Nursing,Undergraduate,Major in Nursing,2020,862,Main
College of Nursing,College of Nursing,Graduate,Doctor of Nursing Practice in Nursing,2020,377,Online
College of Nursing,College of Nursing,Graduate,Adult-Gerontology Acute Care Nurse Practitioner,2020,8,Online
College of Nursing,College of Nursing,Graduate,Family Nurse Practitioner,2020,1,Online
College of Nursing,College of Nursing,Graduate,Nursing Rural Telehealth,2020,6,Online
College of Nursing,College of Nursing,Graduate,Pediatric Nurse Practitioner,2020,2,Online
College of Nursing,College of Nursing,Graduate,Psychiatric Mental Health Nurse Practitioner,2020,11,Online
College of Nursing,College of Nursing,Graduate,Master of Science in Nursing,2020,164,Online
College of Nursing,College of Nursing,Graduate,Master of Science in Nursing,2020,59,Phoenix
College of Pharmacy,College of Pharmacy,Pharmacy,Major in Pharmacy,2020,345,Main
College of Pharmacy,Pharmaceutical Sciences,Graduate,Doctor of Philosophy in Pharmaceutical Sciences,2020,30,Main
College of Pharmacy,Pharmaceutical Sciences,Graduate,Master of Science in Pharmaceutical Sciences,2020,3,Main
College of Pharmacy,Pharmacology and Toxicology,Graduate,Doctor of Philosophy in Pharmacology and Toxicology,2020,15,Main
College of Pharmacy,Pharmacology and Toxicology,Undergraduate,Major in Pharmaceutical Sciences,2020,66,Main
College of Pharmacy,Pharmacology and Toxicology,Undergraduate,Major in Pharmaceutical Sciences,2020,293,Main
College of Pharmacy,College of Pharmacy,Pharmacy,Major in Pharmacy,2020,137,Phoenix
College of Public Health,Public Health Administration,Graduate,Master of Public Health,2020,3,Distance
College of Public Health,College of Public Health,Graduate,Doctor of Philosophy in Health Behavior Health Promotion,2020,21,Main
College of Public Health,College of Public Health,Graduate,Master of Science in Public Health in Health Behavior Health Promotion,2020,1,Main
College of Public Health,Public Health Administration,Graduate,Doctor of Philosophy in Biostatistics,2020,13,Main
College of Public Health,Public Health Administration,Graduate,Doctor of Philosophy in Environmental Health Sciences,2020,15,Main
College of Public Health,Public Health Administration,Graduate,Doctor of Philosophy in Epidemiology,2020,23,Main
College of Public Health,Public Health Administration,Graduate,Major in Public Health,2020,31,Main
College of Public Health,Public Health Administration,Graduate,Clinical and Translational Research,2020,6,Main
College of Public Health,Public Health Administration,Graduate,Health Administration,2020,1,Main
College of Public Health,Public Health Administration,Graduate,Master of Public Health,2020,178,Main
College of Public Health,Public Health Administration,Graduate,Master of Science in Biostatistics,2020,8,Main
College of Public Health,Public Health Administration,Graduate,Master of Science in Environmental Health Sciences,2020,5,Main
College of Public Health,Public Health Administration,Graduate,Master of Science in Epidemiology,2020,9,Main
College of Public Health,Public Health Administration,Undergraduate,Major in Public Health,2020,324,Main
College of Public Health,Public Health Administration,Undergraduate,Major in Public Health,2020,640,Main
College of Public Health,Public Health Administration,Graduate,Global Health & Development,2020,3,Online
College of Public Health,Public Health Administration,Graduate,Public Health,2020,10,Online
College of Public Health,Public Health Administration,Graduate,Master of Public Health,2020,262,Online
College of Public Health,Public Health Administration,Undergraduate,Major in Public Health,2020,118,Online
College of Public Health,Public Health Administration,Graduate,Master of Public Health,2020,74,Phoenix
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,19,Distance
College of Science,Astronomy,Graduate,Doctor of Philosophy in Astronomy and Astrophysics,2020,49,Main
College of Science,Astronomy,Graduate,Master of Science in Astronomy and Astrophysics,2020,1,Main
College of Science,Astronomy,Undergraduate,Major in Astronomy,2020,187,Main
College of Science,Astronomy,Undergraduate,Major in Astronomy,2020,64,Main
College of Science,Chemistry,Graduate,Doctor of Philosophy in Chemistry,2020,123,Main
College of Science,Chemistry,Graduate,Master of Arts in Chemistry,2020,1,Main
College of Science,Chemistry,Graduate,Master of Science in Chemistry,2020,8,Main
College of Science,Chemistry,Undergraduate,Major in Chemistry,2020,21,Main
College of Science,Chemistry,Undergraduate,Major in Chemistry,2020,3,Main
College of Science,Chemistry,Undergraduate,Major in Chemistry,2020,208,Main
College of Science,Chemistry,Undergraduate,Major in Chemistry,2020,11,Main
College of Science,Chemistry & Biochemistry - Sci,Graduate,Doctor of Philosophy in Biochemistry,2020,38,Main
College of Science,Chemistry & Biochemistry - Sci,Graduate,Master of Science in Biochemistry,2020,3,Main
College of Science,Chemistry & Biochemistry - Sci,Undergraduate,Major in Biochemistry,2020,89,Main
College of Science,Chemistry & Biochemistry - Sci,Undergraduate,Major in Biochemistry,2020,2,Main
College of Science,Chemistry & Biochemistry - Sci,Undergraduate,Major in Biochemistry,2020,374,Main
College of Science,Chemistry & Biochemistry - Sci,Undergraduate,Major in Biochemistry,2020,14,Main
College of Science,College of Science,Graduate,Dendrochronology,2020,1,Main
College of Science,College of Science,Graduate,Egyptian Archaeology,2020,1,Main
College of Science,College of Science,Graduate,Science Communication,2020,12,Main
College of Science,Computer Science,Graduate,Doctor of Philosophy in Computer Science,2020,48,Main
College of Science,Computer Science,Graduate,Master of Science in Computer Science,2020,43,Main
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,44,Main
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,6,Main
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,456,Main
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,1086,Main
College of Science,Ecology & Evolutionary Biology,Graduate,Doctor of Philosophy in Ecology and Evolutionary Biology,2020,40,Main
College of Science,Ecology & Evolutionary Biology,Graduate,Master of Science in Ecology and Evolutionary Biology,2020,7,Main
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Bioinformatics,2020,29,Main
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Bioinformatics,2020,3,Main
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Biology,2020,855,Main
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Biology,2020,5,Main
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Ecology and Evolutionary Biology,2020,11,Main
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Ecology and Evolutionary Biology,2020,105,Main
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Ecology and Evolutionary Biology,2020,7,Main
College of Science,Geosciences,Graduate,Doctor of Philosophy in Geosciences,2020,39,Main
College of Science,Geosciences,Graduate,Master of Science in Geosciences,2020,22,Main
College of Science,Geosciences,Graduate,Professional Science Masters in Economic Geology,2020,3,Main
College of Science,Geosciences,Undergraduate,Major in Geosciences,2020,209,Main
College of Science,Geosciences,Undergraduate,Major in Geosciences,2020,2,Main
College of Science,Hydrology & Atmospheric Sci,Graduate,Doctor of Philosophy in Atmospheric Sciences,2020,13,Main
College of Science,Hydrology & Atmospheric Sci,Graduate,Doctor of Philosophy in Hydrology,2020,21,Main
College of Science,Hydrology & Atmospheric Sci,Graduate,Doctor of Philosophy in Hydrometeorology,2020,5,Main
College of Science,Hydrology & Atmospheric Sci,Graduate,Master of Science in Atmospheric Sciences,2020,10,Main
College of Science,Hydrology & Atmospheric Sci,Graduate,Master of Science in Hydrology,2020,32,Main
College of Science,Hydrology & Atmospheric Sci,Graduate,Master of Science in Hydrometeorology,2020,4,Main
College of Science,Hydrology & Atmospheric Sci,Undergraduate,Major in Environmental Hydrology and Water Resources,2020,15,Main
College of Science,Hydrology & Atmospheric Sci,Undergraduate,Major in Hydrology and Atmospheric Sciences,2020,26,Main
College of Science,Hydrology & Atmospheric Sci,Undergraduate,Major in Hydrology and Atmospheric Sciences,2020,1,Main
College of Science,Hydrology & Atmospheric Sci,Undergraduate,Groundwater,2020,1,Main
College of Science,Hydrology and Water Resources,Graduate,Hydrology and Water Resources,2020,1,Main
College of Science,Mathematics,Graduate,Doctor of Philosophy in Mathematics,2020,54,Main
College of Science,Mathematics,Graduate,Master of Science in Mathematics,2020,8,Main
College of Science,Mathematics,Undergraduate,Major in Mathematics,2020,68,Main
College of Science,Mathematics,Undergraduate,Major in Mathematics,2020,6,Main
College of Science,Mathematics,Undergraduate,Major in Mathematics,2020,319,Main
College of Science,Mathematics,Undergraduate,Major in Mathematics,2020,120,Main
College of Science,Mathematics,Undergraduate,Major in Statistics and Data Science,2020,30,Main
College of Science,Mathematics,Undergraduate,Major in Statistics and Data Science,2020,2,Main
College of Science,Mathematics,Undergraduate,Major in Statistics and Data Science,2020,89,Main
College of Science,Mathematics,Undergraduate,Major in Statistics and Data Science,2020,31,Main
College of Science,Molecular and Cellular Biology,Graduate,Doctor of Philosophy in Molecular and Cellular Biology,2020,24,Main
College of Science,Molecular and Cellular Biology,Graduate,Master of Science in Molecular and Cellular Biology,2020,4,Main
College of Science,Molecular and Cellular Biology,Undergraduate,Major in Molecular and Cellular Biology,2020,449,Main
College of Science,Molecular and Cellular Biology,Undergraduate,Major in Molecular and Cellular Biology,2020,101,Main
College of Science,Physics,Graduate,Doctor of Philosophy in Physics,2020,108,Main
College of Science,Physics,Graduate,Master of Science in Physics,2020,7,Main
College of Science,Physics,Graduate,Professional Science Masters in Medical Physics,2020,2,Main
College of Science,Physics,Undergraduate,Major in Applied Physics,2020,12,Main
College of Science,Physics,Undergraduate,Major in Applied Physics,2020,2,Main
College of Science,Physics,Undergraduate,Major in Physics,2020,6,Main
College of Science,Physics,Undergraduate,Major in Physics,2020,246,Main
College of Science,Physics,Undergraduate,Major in Physics,2020,74,Main
College of Science,Planetary Sciences,Graduate,Doctor of Philosophy in Planetary Sciences,2020,40,Main
College of Science,Planetary Sciences,Graduate,Master of Science in Planetary Sciences,2020,2,Main
College of Science,Psychology,Graduate,Doctor of Philosophy in Psychology,2020,86,Main
College of Science,Psychology,Graduate,Master of Arts in Psychology,2020,33,Main
College of Science,Psychology,Undergraduate,Major in Psychological Science,2020,215,Main
College of Science,Psychology,Undergraduate,Major in Psychological Science,2020,5,Main
College of Science,Psychology,Undergraduate,Major in Psychology,2020,1387,Main
College of Science,Psychology,Undergraduate,Major in Psychology,2020,65,Main
College of Science,Psychology,Undergraduate,Major in Psychology,2020,64,Main
College of Science,Psychology,Undergraduate,Major in Psychology,2020,521,Main
College of Science,Sch of Mind Brain & Behavior,Undergraduate,Major in Neuroscience and Cognitive Science,2020,231,Main
College of Science,Sch of Mind Brain & Behavior,Undergraduate,Major in Neuroscience and Cognitive Science,2020,426,Main
College of Science,Speech Language & Hearing Sci,Graduate,Doctor of Audiology,2020,40,Main
College of Science,Speech Language & Hearing Sci,Graduate,"Doctor of Philosophy in Speech, Language and Hearing Sciences",2020,14,Main
College of Science,Speech Language & Hearing Sci,Graduate,Bilingual Audiology,2020,2,Main
College of Science,Speech Language & Hearing Sci,Graduate,Bilingual Speech-Language Pathology,2020,29,Main
College of Science,Speech Language & Hearing Sci,Graduate,"Master of Science in Speech, Language and Hearing Sciences",2020,64,Main
College of Science,Speech Language & Hearing Sci,Undergraduate,"Major in Speech, Language and Hearing Sciences",2020,228,Main
College of Science,Speech Language & Hearing Sci,Undergraduate,"Major in Speech, Language and Hearing Sciences",2020,1,Main
College of Science,Psychology,Undergraduate,Major in Psychology,2020,316,Online
College of Science,Psychology,Undergraduate,Major in Psychology,2020,1,Online
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,7,South
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,8,South
College of Science,Mathematics,Undergraduate,Major in Mathematics,2020,1,South
College of Science,Psychology,Undergraduate,Major in Psychology,2020,37,South
College of Social & Behav Sci,School of Govt & Public Policy,Undergraduate,Major in Law,2020,131,Distance
College of Social & Behav Sci,American Indian Studies Prog,Undergraduate,Major in American Indian Studies,2020,12,Main
College of Social & Behav Sci,American Indian Studies Prog,Undergraduate,Major in American Indian Studies,2020,6,Main
College of Social & Behav Sci,AZ Center for Judaic Studies,Undergraduate,Major in Judaic Studies,2020,5,Main
College of Social & Behav Sci,AZ Center for Judaic Studies,Undergraduate,Major in Judaic Studies,2020,2,Main
College of Social & Behav Sci,College of Social & Behav Sci,Undergraduate,Major in Global Studies,2020,14,Main
College of Social & Behav Sci,College of Social & Behav Sci,Undergraduate,Major in Global Studies,2020,1,Main
College of Social & Behav Sci,College of Social & Behav Sci,Undergraduate,Major in Global Studies,2020,94,Main
College of Social & Behav Sci,College of Social & Behav Sci,Undergraduate,Major in Global Studies,2020,1,Main
College of Social & Behav Sci,College of Social & Behav Sci,Undergraduate,Major in Global Studies,2020,20,Main
College of Social & Behav Sci,Communication,Graduate,Doctor of Philosophy in Communication,2020,17,Main
College of Social & Behav Sci,Communication,Graduate,Master of Arts in Communication,2020,11,Main
College of Social & Behav Sci,Communication,Undergraduate,Major in Communication,2020,950,Main
College of Social & Behav Sci,Communication,Undergraduate,Major in Communication,2020,32,Main
College of Social & Behav Sci,English,Graduate,Doctor of Philosophy in English,2020,47,Main
College of Social & Behav Sci,English,Graduate,"Doctor of Philosophy in Rhetoric, Composition and Teaching of English",2020,38,Main
College of Social & Behav Sci,English,Graduate,Master of Arts in English,2020,8,Main
College of Social & Behav Sci,English,Graduate,"Master of Arts in Rhetoric, Composition and Teaching of English",2020,7,Main
College of Social & Behav Sci,English,Graduate,Master of Arts in Teaching English as a Second Language,2020,18,Main
College of Social & Behav Sci,English,Graduate,Master of Fine Arts in Creative Writing,2020,36,Main
College of Social & Behav Sci,English,Undergraduate,Major in Creative Writing,2020,189,Main
College of Social & Behav Sci,English,Undergraduate,Major in Creative Writing,2020,68,Main
College of Social & Behav Sci,English,Undergraduate,Major in English,2020,255,Main
College of Social & Behav Sci,English,Undergraduate,Major in English,2020,36,Main
College of Social & Behav Sci,English,Undergraduate,Professional and Technical Writing,2020,26,Main
College of Social & Behav Sci,Gender and Womens Studies,Graduate,Doctor of Philosophy in Gender & Women's Studies,2020,17,Main
College of Social & Behav Sci,Gender and Womens Studies,Graduate,Gender & Women's Studies,2020,2,Main
College of Social & Behav Sci,Gender and Womens Studies,Graduate,Master of Arts in Gender & Women's Studies,2020,1,Main
College of Social & Behav Sci,Gender and Womens Studies,Undergraduate,Major in Gender & Women's Studies,2020,30,Main
College of Social & Behav Sci,Gender and Womens Studies,Undergraduate,Major in Gender & Women's Studies,2020,14,Main
College of Social & Behav Sci,History,Graduate,Doctor of Philosophy in History,2020,38,Main
College of Social & Behav Sci,History,Graduate,Master of Arts in History,2020,10,Main
College of Social & Behav Sci,History,Undergraduate,Major in History,2020,238,Main
College of Social & Behav Sci,History,Undergraduate,Major in History,2020,30,Main
College of Social & Behav Sci,Journalism,Graduate,Master of Arts in Journalism,2020,26,Main
College of Social & Behav Sci,Journalism,Undergraduate,Major in Journalism,2020,375,Main
