College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus
College of Social & Behav Sci,Journalism,Undergraduate,Major in Journalism,2020,24,Main
College of Social & Behav Sci,Latin American Area Center,Graduate,Master of Arts in Latin American Studies,2020,22,Main
College of Social & Behav Sci,Latin American Area Center,Undergraduate,Major in Latin American Studies,2020,10,Main
College of Social & Behav Sci,Latin American Area Center,Undergraduate,Major in Latin American Studies,2020,13,Main
College of Social & Behav Sci,Linguistics,Graduate,Doctor of Philosophy in Anthropology and Linguistics,2020,6,Main
College of Social & Behav Sci,Linguistics,Graduate,Doctor of Philosophy in Linguistics,2020,51,Main
College of Social & Behav Sci,Linguistics,Graduate,Master of Arts in Linguistics,2020,15,Main
College of Social & Behav Sci,Linguistics,Graduate,Master of Science in Human Language Technology,2020,14,Main
College of Social & Behav Sci,Linguistics,Undergraduate,Major in Linguistics,2020,113,Main
College of Social & Behav Sci,Linguistics,Undergraduate,Major in Linguistics,2020,11,Main
College of Social & Behav Sci,Mexican American Studies,Graduate,Doctor of Philosophy in Mexican American Studies,2020,13,Main
College of Social & Behav Sci,Mexican American Studies,Graduate,Master of Science in Mexican American Studies,2020,6,Main
College of Social & Behav Sci,Mexican American Studies,Undergraduate,Major in Mexican American Studies,2020,19,Main
College of Social & Behav Sci,Mexican American Studies,Undergraduate,Major in Mexican American Studies,2020,10,Main
College of Social & Behav Sci,Philosophy,Graduate,Doctor of Philosophy in Philosophy,2020,43,Main
College of Social & Behav Sci,Philosophy,Graduate,Master of Arts in Philosophy,2020,6,Main
College of Social & Behav Sci,Philosophy,Undergraduate,Major in Philosophy,2020,91,Main
College of Social & Behav Sci,Philosophy,Undergraduate,Major in Philosophy,2020,21,Main
College of Social & Behav Sci,Political Economy & Moral Sci,Undergraduate,"Major in Philosophy, Politics, Economics and Law",2020,164,Main
College of Social & Behav Sci,Political Economy & Moral Sci,Undergraduate,"Major in Philosophy, Politics, Economics and Law",2020,6,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Graduate,Doctor of Philosophy in Geography,2020,44,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Graduate,Geographic Information Science,2020,9,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Graduate,Professional Geographic Information Systems Technology,2020,1,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Graduate,Water Policy,2020,2,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Graduate,Master of Arts in Geography,2020,11,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Graduate,Master of Science in Geographic Information Systems Technology,2020,34,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Undergraduate,Major in Environmental Studies,2020,97,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Undergraduate,Major in Environmental Studies,2020,13,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Undergraduate,Major in Geography,2020,20,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Undergraduate,Major in Geography,2020,3,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Undergraduate,Major in Geography,2020,46,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Undergraduate,Major in Geography,2020,1,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Undergraduate,Major in Urban and Regional Development,2020,232,Main
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Undergraduate,Major in Urban and Regional Development,2020,3,Main
College of Social & Behav Sci,Sch Middle E/N African Studies,Graduate,Doctor of Philosophy in Middle Eastern and North African Studies,2020,25,Main
College of Social & Behav Sci,Sch Middle E/N African Studies,Graduate,Doctor of Philosophy in Near Eastern Studies,2020,2,Main
College of Social & Behav Sci,Sch Middle E/N African Studies,Graduate,Middle Eastern Culture and Pedagogy,2020,4,Main
College of Social & Behav Sci,Sch Middle E/N African Studies,Graduate,Master of Arts in Middle Eastern and North African Studies,2020,11,Main
College of Social & Behav Sci,Sch Middle E/N African Studies,Undergraduate,Major in Arabic,2020,27,Main
College of Social & Behav Sci,Sch Middle E/N African Studies,Undergraduate,Major in Arabic,2020,27,Main
College of Social & Behav Sci,Sch Middle E/N African Studies,Undergraduate,Major in Middle Eastern and North African Studies,2020,9,Main
College of Social & Behav Sci,Sch Middle E/N African Studies,Undergraduate,Major in Middle Eastern and North African Studies,2020,8,Main
College of Social & Behav Sci,School of Anthropology,Graduate,Doctor of Philosophy in Anthropology,2020,87,Main
College of Social & Behav Sci,School of Anthropology,Graduate,Master of Arts in Anthropology,2020,20,Main
College of Social & Behav Sci,School of Anthropology,Graduate,Masters in Development Practice,2020,20,Main
College of Social & Behav Sci,School of Anthropology,Undergraduate,Major in Anthropology,2020,151,Main
College of Social & Behav Sci,School of Anthropology,Undergraduate,Major in Anthropology,2020,21,Main
College of Social & Behav Sci,School of Anthropology,Undergraduate,Major in Anthropology,2020,73,Main
College of Social & Behav Sci,School of Anthropology,Undergraduate,Major in Anthropology,2020,3,Main
College of Social & Behav Sci,School of Govt & Public Policy,Graduate,Doctor of Philosophy in Government and Public Policy,2020,34,Main
College of Social & Behav Sci,School of Govt & Public Policy,Graduate,Master of Arts in Government and Public Policy,2020,1,Main
College of Social & Behav Sci,School of Govt & Public Policy,Graduate,Master of Public Administration,2020,63,Main
College of Social & Behav Sci,School of Govt & Public Policy,Graduate,Master of Public Policy,2020,16,Main
College of Social & Behav Sci,School of Govt & Public Policy,Undergraduate,Major in Criminal Justice Studies,2020,765,Main
College of Social & Behav Sci,School of Govt & Public Policy,Undergraduate,Major in Criminal Justice Studies,2020,8,Main
College of Social & Behav Sci,School of Govt & Public Policy,Undergraduate,Major in Law,2020,632,Main
College of Social & Behav Sci,School of Govt & Public Policy,Undergraduate,Major in Law,2020,64,Main
College of Social & Behav Sci,School of Govt & Public Policy,Undergraduate,Major in Political Science,2020,669,Main
College of Social & Behav Sci,School of Govt & Public Policy,Undergraduate,Major in Political Science,2020,86,Main
College of Social & Behav Sci,School of Govt & Public Policy,Undergraduate,Major in Public Management and Policy,2020,106,Main
College of Social & Behav Sci,School of Govt & Public Policy,Undergraduate,Major in Public Management and Policy,2020,25,Main
College of Social & Behav Sci,School of Information,Graduate,Doctor of Philosophy in Information,2020,16,Main
College of Social & Behav Sci,School of Information,Graduate,Archival Studies,2020,5,Main
College of Social & Behav Sci,School of Information,Graduate,Digital Information Management,2020,2,Main
College of Social & Behav Sci,School of Information,Graduate,Law Librarianship,2020,1,Main
College of Social & Behav Sci,School of Information,Graduate,Medical and Community Health Information,2020,1,Main
College of Social & Behav Sci,School of Information,Graduate,Master of Arts in Library and Information Science,2020,83,Main
College of Social & Behav Sci,School of Information,Graduate,Master of Science in Information,2020,19,Main
College of Social & Behav Sci,School of Information,Undergraduate,Major in Information Science & eSociety,2020,255,Main
College of Social & Behav Sci,School of Information,Undergraduate,Major in Information Science & eSociety,2020,55,Main
College of Social & Behav Sci,School of Information,Undergraduate,Major in Information Science and Arts,2020,69,Main
College of Social & Behav Sci,School of Information,Undergraduate,Major in Information Science and Arts,2020,3,Main
College of Social & Behav Sci,School of Information,Undergraduate,Major in Information Science and Technology,2020,261,Main
College of Social & Behav Sci,School of Information,Undergraduate,Major in Information Science and Technology,2020,21,Main
College of Social & Behav Sci,Social & Behavioral Sci Admin,Graduate,Computational Social Sciences,2020,24,Main
College of Social & Behav Sci,Social & Behavioral Sci Admin,Undergraduate,Major in Food Studies,2020,18,Main
College of Social & Behav Sci,Social & Behavioral Sci Admin,Undergraduate,Major in Food Studies,2020,2,Main
College of Social & Behav Sci,Sociology,Graduate,Doctor of Philosophy in Sociology,2020,45,Main
College of Social & Behav Sci,Sociology,Graduate,Master of Arts in Sociology,2020,9,Main
College of Social & Behav Sci,Sociology,Undergraduate,"Major in Care, Health and Society",2020,346,Main
College of Social & Behav Sci,Sociology,Undergraduate,"Major in Care, Health and Society",2020,2,Main
College of Social & Behav Sci,Sociology,Undergraduate,Major in Sociology,2020,183,Main
College of Social & Behav Sci,Sociology,Undergraduate,Major in Sociology,2020,20,Main
College of Social & Behav Sci,College of Social & Behav Sci,Graduate,Human Rights Practice,2020,4,Online
College of Social & Behav Sci,College of Social & Behav Sci,Graduate,Master of Arts in Human Rights Practice,2020,63,Online
College of Social & Behav Sci,Communication,Undergraduate,Major in Communication,2020,119,Online
College of Social & Behav Sci,Communication,Undergraduate,Major in Communication,2020,1,Online
College of Social & Behav Sci,English,Graduate,Teaching English as a Second or Foreign Language,2020,3,Online
College of Social & Behav Sci,English,Undergraduate,Professional and Technical Writing,2020,1,Online
College of Social & Behav Sci,History,Undergraduate,Major in History,2020,63,Online
College of Social & Behav Sci,History,Undergraduate,Major in History,2020,1,Online
College of Social & Behav Sci,Philosophy,Undergraduate,Major in Philosophy,2020,27,Online
College of Social & Behav Sci,Philosophy,Undergraduate,Major in Philosophy,2020,3,Online
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Graduate,Professional Geographic Information Systems Technology,2020,6,Online
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Graduate,Master of Science in Geographic Information Systems Technology,2020,78,Online
College of Social & Behav Sci,"Sch Geography, Dev & Environ",Undergraduate,Geographic Information Systems Technology,2020,119,Online
College of Social & Behav Sci,School of Govt & Public Policy,Graduate,International Security Studies,2020,6,Online
College of Social & Behav Sci,School of Govt & Public Policy,Graduate,Master of Arts in International Security,2020,140,Online
College of Social & Behav Sci,School of Govt & Public Policy,Undergraduate,Major in Law,2020,167,Online
College of Social & Behav Sci,School of Govt & Public Policy,Undergraduate,Major in Law,2020,3,Online
College of Social & Behav Sci,School of Information,Graduate,Archival Studies,2020,16,Online
College of Social & Behav Sci,School of Information,Graduate,Digital Information Management,2020,2,Online
College of Social & Behav Sci,School of Information,Graduate,Instruction and Teaching for Librarians and Information Professionals,2020,1,Online
College of Social & Behav Sci,School of Information,Graduate,Medical and Community Health Information,2020,1,Online
College of Social & Behav Sci,School of Information,Graduate,Master of Arts in Library and Information Science,2020,163,Online
College of Social & Behav Sci,School of Information,Undergraduate,Major in Information Science & eSociety,2020,84,Online
College of Social & Behav Sci,School of Information,Undergraduate,Major in Information Science & eSociety,2020,2,Online
College of Social & Behav Sci,Sociology,Undergraduate,"Major in Care, Health and Society",2020,91,Online
College of Social & Behav Sci,English,Undergraduate,Major in English,2020,6,South
College of Social & Behav Sci,History,Undergraduate,Major in History,2020,3,South
College of Social & Behav Sci,School of Anthropology,Undergraduate,Major in Anthropology,2020,1,South
Colleges of Letters Arts & Sci,Colleges of Letters Arts & Sci,Undergraduate,Major in General Studies,2020,13,Distance
Colleges of Letters Arts & Sci,Colleges of Letters Arts & Sci,Undergraduate,Major in General Studies,2020,564,Main
Colleges of Letters Arts & Sci,Colleges of Letters Arts & Sci,Undergraduate,Major in General Studies,2020,235,Online
Eller College of Management,Eller Administration,Undergraduate,Major in Business Administration,2020,170,Distance
Eller College of Management,Economics,Graduate,Doctor of Philosophy in Economics,2020,47,Main
Eller College of Management,Economics,Graduate,Master of Arts in Economics,2020,4,Main
Eller College of Management,Economics,Graduate,Master of Science in Econometrics and Quantitative Economics,2020,14,Main
Eller College of Management,Economics,Undergraduate,Major in Business Economics,2020,117,Main
Eller College of Management,Economics,Undergraduate,Major in Business Economics,2020,8,Main
Eller College of Management,Economics,Undergraduate,Major in Economics,2020,385,Main
Eller College of Management,Economics,Undergraduate,Major in Economics,2020,263,Main
Eller College of Management,Eller Administration,Undergraduate,Major in Business Administration,2020,3693,Main
Eller College of Management,Eller College of Management,Undergraduate,Major in Entrepreneurship,2020,58,Main
Eller College of Management,Finance,Graduate,Master of Science in Finance,2020,37,Main
Eller College of Management,Finance,Undergraduate,Major in Finance,2020,438,Main
Eller College of Management,Finance,Undergraduate,Major in Finance,2020,19,Main
Eller College of Management,Finance,Undergraduate,Finance,2020,1,Main
Eller College of Management,Karl Eller Grad School of Mgmt,Graduate,Master of Business Administration,2020,140,Main
Eller College of Management,Management and Organizations,Graduate,Doctor of Philosophy in Management,2020,70,Main
Eller College of Management,Management and Organizations,Undergraduate,Major in Business Management,2020,334,Main
Eller College of Management,Management and Organizations,Undergraduate,Major in Business Management,2020,16,Main
Eller College of Management,Management and Organizations,Undergraduate,Social Innovation,2020,19,Main
Eller College of Management,Management and Organizations,Undergraduate,Sports Management,2020,133,Main
Eller College of Management,Management Information Systems,Graduate,Business Intelligence and Analytics,2020,2,Main
Eller College of Management,Management Information Systems,Graduate,Enterprise Information Security,2020,1,Main
Eller College of Management,Management Information Systems,Graduate,Master of Science in Business Analytics,2020,6,Main
Eller College of Management,Management Information Systems,Graduate,Master of Science in Management Information Systems,2020,136,Main
Eller College of Management,Management Information Systems,Undergraduate,Major in Management Information Systems,2020,314,Main
Eller College of Management,Management Information Systems,Undergraduate,Major in Management Information Systems,2020,124,Main
Eller College of Management,Management Information Systems,Undergraduate,Major in Operations Management,2020,25,Main
Eller College of Management,Management Information Systems,Undergraduate,Major in Operations Management,2020,48,Main
Eller College of Management,Marketing,Graduate,Master of Science in Marketing,2020,18,Main
Eller College of Management,Marketing,Undergraduate,Major in Marketing,2020,435,Main
Eller College of Management,Marketing,Undergraduate,Major in Marketing,2020,14,Main
Eller College of Management,School of Accountancy,Graduate,Master of Accounting,2020,44,Main
Eller College of Management,School of Accountancy,Graduate,Master of Science in Accounting,2020,34,Main
Eller College of Management,School of Accountancy,Undergraduate,Major in Accounting,2020,387,Main
Eller College of Management,School of Accountancy,Undergraduate,Major in Accounting,2020,5,Main
Eller College of Management,Eller Administration,Undergraduate,Major in Business Administration,2020,469,Online
Eller College of Management,Eller College of Management,Graduate,Master of Science in Entrepreneurship,2020,17,Online
Eller College of Management,Karl Eller Grad School of Mgmt,Graduate,Master of Business Administration,2020,246,Online
Eller College of Management,Management and Organizations,Graduate,Masters in Healthcare Management,2020,50,Online
Eller College of Management,Management and Organizations,Undergraduate,Sports Management,2020,8,Online
Eller College of Management,Management Information Systems,Graduate,Business Intelligence and Analytics,2020,18,Online
Eller College of Management,Management Information Systems,Graduate,Enterprise Information Security,2020,4,Online
Eller College of Management,Management Information Systems,Graduate,Master of Science in Management Information Systems,2020,106,Online
Eller College of Management,School of Accountancy,Graduate,Accounting,2020,24,Online
Eller College of Management,School of Accountancy,Graduate,Master of Science in Accounting,2020,20,Online
Eller College of Management,Karl Eller Grad School of Mgmt,Graduate,Master of Business Administration,2020,110,Phoenix
Graduate College,Interdis Graduate Prog Admin,Graduate,Doctor of Philosophy in American Indian Studies,2020,22,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Doctor of Philosophy in Applied Intercultural Arts Research,2020,5,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Doctor of Philosophy in Applied Mathematics,2020,50,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Doctor of Philosophy in Arid Lands Resource Sciences,2020,16,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Doctor of Philosophy in Cancer Biology,2020,30,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Doctor of Philosophy in Entomology & Insect Science,2020,20,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Doctor of Philosophy in Genetics,2020,14,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Doctor of Philosophy in Neuroscience,2020,25,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Doctor of Philosophy in Persian and Iranian Studies,2020,3,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Doctor of Philosophy in Physiological Sciences,2020,24,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Doctor of Philosophy in Second Language Acquisition and Teaching,2020,59,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Major in Statistics,2020,22,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Major in Statistics and Data Science,2020,1,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Statistics,2020,4,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Statistics and Data Science,2020,1,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Master of Arts in American Indian Studies,2020,3,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Master of Arts in Applied Intercultural Arts Research,2020,1,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Master of Arts in Persian and Iranian Studies,2020,3,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Master of Science in Applied Mathematics,2020,2,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Master of Science in Entomology & Insect Science,2020,14,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Master of Science in Neuroscience,2020,1,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Master of Science in Physiological Sciences,2020,22,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Master of Science in Statistics,2020,28,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Master of Science in Statistics and Data Science,2020,1,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Professional Science Masters in Applied Biosciences,2020,36,Main
Graduate College,Interdis Graduate Prog Admin,Graduate,Statistics,2020,5,Online
James C Wyant Coll Optical Sci,James C Wyant Coll Optical Sci,Graduate,Doctor of Philosophy in Optical Sciences,2020,169,Main
James C Wyant Coll Optical Sci,James C Wyant Coll Optical Sci,Graduate,Optical Sciences,2020,2,Main
James C Wyant Coll Optical Sci,James C Wyant Coll Optical Sci,Graduate,Master of Science in Optical Sciences,2020,111,Main
James C Wyant Coll Optical Sci,James C Wyant Coll Optical Sci,Graduate,Master of Science in Photonic Communications Engineering,2020,3,Main
James C Wyant Coll Optical Sci,James C Wyant Coll Optical Sci,Undergraduate,Major in Optical Sciences & Engineering,2020,123,Main
James C Wyant Coll Optical Sci,James C Wyant Coll Optical Sci,Graduate,Optical Sciences,2020,18,Online
James C Wyant Coll Optical Sci,James C Wyant Coll Optical Sci,Graduate,Master of Science in Optical Sciences,2020,77,Online
James E Rogers College of Law,James E Rogers College of Law,Law,Major in Indigenous Governance,2020,5,Main
James E Rogers College of Law,Law Instruction,Law,Major in Law,2020,373,Main
James E Rogers College of Law,Law Instruction,Law,Scientiae Juridicae Program,2020,18,Main
James E Rogers College of Law,Law Instruction,Law,Major in Law,2020,22,Main
James E Rogers College of Law,Law Instruction,Law,Master of Legal Studies,2020,41,Main
James E Rogers College of Law,Law Instruction,Law,Major in Law,2020,3,Online
James E Rogers College of Law,Law Instruction,Law,Master of Legal Studies,2020,177,Online
Job with good median salary and empolyment - don’t' have,Solar photovoltaic installers,Solar photovoltaic installers,Solar photovoltaic installers,2020,500,Potential
Job with good median salary and empolyment - don’t' have,Wind Turbine Technicians,Wind Turbine Technicians,Wind Turbine Technicians,2020,500,Potential
Job with good median salary and empolyment - don’t' have,Home Health Aides and Personal Care Aides,Home Health Aides and Personal Care Aides,Home Health Aides and Personal Care Aides,2020,500,Potential
Job with good median salary and empolyment - don’t' have,Occupational Therapy Assistants and Aides,Occupational Therapy Assistants and Aides,Occupational Therapy Assistants and Aides,2020,500,Potential
Job with good median salary and empolyment - don’t' have,Physician Assistants,Physician Assistants,Physician Assistants,2020,500,Potential
Job with good median salary and empolyment - don’t' have,Mathematicians and Statisticians/Data Science,Mathematicians and Statisticians/Data Science,Mathematicians and Statisticians/Data Science,2020,500,Potential
Job with good median salary and empolyment - don’t' have,Speech-Language Pathologists,Speech-Language Pathologists,Speech-Language Pathologists,2020,500,Potential
Job with good median salary and empolyment - don’t' have,Physical Therapist Assistants and Aides,Physical Therapist Assistants and Aides,Physical Therapist Assistants and Aides,2020,500,Potential
Job with good median salary and empolyment - don’t' have,Genetic Counselors,Genetic Counselors,Genetic Counselors,2020,500,Potential
Job with good median salary and empolyment - don’t' have,Fire Inspectors,Fire Inspectors,Fire Inspectors,2020,500,Potential
Job with good median salary and empolyment - don’t' have,Postsecondary Teachers,Postsecondary Teachers,Postsecondary Teachers,2020,500,Potential
Job with good median salary and empolyment - don’t' have,Phlebotomists,Phlebotomists,Phlebotomists,2020,500,Potential
Job with good median salary and empolyment - don’t' have,Medical Assistants,Medical Assistants,Medical Assistants,2020,500,Potential
Job with good median salary and empolyment - have,Information Security Analysts,Information Security Analysts,Information Security Analysts,2020,500,Potential
Job with good median salary and empolyment - have,"Nurse Anesthetists, Nurse Midwives, and Nurse Practitioners","Nurse Anesthetists, Nurse Midwives, and Nurse Practitioners","Nurse Anesthetists, Nurse Midwives, and Nurse Practitioners",2020,500,Potential
Job with good median salary and empolyment - have,Operations Research Analysts,Operations Research Analysts,Operations Research Analysts,2020,500,Potential
Job with good median salary and empolyment - have,Software Developers,Software Developers,Software Developers,2020,500,Potential
Job with less good median salary and empolyment - don’t' have,Petroleum Engineers,Petroleum Engineers,Petroleum Engineers,2020,500,Potential
Job with less good median salary and empolyment - don’t' have,Art Directors,Art Directors,Art Directors,2020,500,Potential
Job with less good median salary and empolyment - don’t' have,Industrial Designers,Industrial Designers,Industrial Designers,2020,500,Potential
Job with less good median salary and empolyment - don’t' have,Multimedia Artists and Animators,Multimedia Artists and Animators,Multimedia Artists and Animators,2020,500,Potential
Job with less good median salary and empolyment - don’t' have,Probation Officers and Correctional Treatment Specialists,Probation Officers and Correctional Treatment Specialists,Probation Officers and Correctional Treatment Specialists,2020,500,Potential
Job with less good median salary and empolyment - don’t' have,Dentists,Dentists,Dentists,2020,500,Potential
Job with less good median salary and empolyment - don’t' have,Sales Engineers,Sales Engineers,Sales Engineers,2020,500,Potential